Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_Age_population,Income_rate,Income_count,Employment_rate,Employment_count,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attendance,Attainment,no_qualifications,not_participating,University,drive_petrol,drive_GP,drive_post,drive_primary,drive_retail,drive_secondary,PT_GP,PT_post,PT_retail,Broadband,crime_count,crime_rate,overcrowded_count,nocentralheating_count,overcrowded_rate,nocentralheating_rate
S01010754,Tain,Highland,626,353,19%,116,16%,57,130,152,232,57,0.22,0.00,91,87%,5.27,109,2%,13%,1.882647482,2.180651079,1.666129496,2.901792453,2.291532374,2.258735632,8.842309353,6.230535971,9.215205036,2%,26,422,83,14,12%,2%
S01010755,Tain,Highland,603,334,12%,73,7%,23,95,62,0,104,0.16,0.10,74,92%,5.63,110,6%,6%,2.24248452,1.966486068,1.80746517,1.958623188,1.514493034,3.653131313,7.575944272,5.899241486,4.23749226,0%,12,202,40,8,6%,1%
S01010756,Tain,Highland,613,363,5%,32,3%,11,65,92,86,50,0.16,0.13,71,88%,5.77,61,4%,9%,2.224599092,2.763876702,2.951149773,3.284343434,2.409024206,4.171190476,11.56576778,10.38861573,8.73973525,1%,29,480,32,20,5%,3%
S01010757,Sutherland South,Highland,729,409,8%,60,8%,34,70,51,0,89,0.15,0.00,60,90%,5.89,73,0%,10%,20.08853414,13.78269076,7.686880857,6.705444444,21.02866131,33.70961538,36.46770248,20.36113621,48.70446118,69%,*,*,18,24,2%,3%
S01010758,Sutherland South,Highland,794,436,5%,43,5%,20,75,49,0,95,0.18,0.00,80,83%,5.78,67,0%,15%,7.785626781,6.99281339,3.836502849,7.988125,6.353041311,7.215308219,17.69542379,9.257037037,16.22701923,28%,5,64,21,17,3%,3%
S01010759,Sutherland South,Highland,577,342,13%,74,8%,28,75,160,82,79,0.20,0.12,107,74%,5.10,87,1%,9%,6.356930693,3.010466172,2.209521452,3.975757576,2.570379538,4.164476744,10.50207921,8.574389439,10.58592409,36%,12,211,53,14,9%,2%
S01010760,Sutherland South,Highland,666,306,8%,56,6%,19,75,61,0,105,0.19,0.00,75,82%,5.59,56,4%,10%,4.379325658,2.881291118,2.440715461,2.330258621,1.991114309,2.540230769,7.805797697,6.334383224,6.114884868,3%,8,122,23,17,4%,3%
S01010761,Sutherland South,Highland,549,334,6%,32,3%,11,60,87,32,66,0.13,0.07,59,88%,5.55,82,2%,9%,5.467271455,8.439179104,8.039710821,7.921116505,8.560382463,8.755851064,23.51180037,22.33486474,24.16915578,86%,3,55,22,18,4%,3%
S01010762,Sutherland South,Highland,638,385,9%,57,6%,23,75,67,0,89,0.16,0.17,68,85%,6.00,67,2%,13%,9.812324415,7.996505017,8.430392977,4.728009259,10.68890468,12.53831461,27.01301003,22.88080268,27.01588629,54%,*,*,34,16,6%,3%
S01010763,Sutherland South,Highland,643,379,12%,78,8%,30,80,69,0,94,0.18,0.00,70,81%,5.08,97,4%,13%,13.81516399,2.256271866,1.631191691,2.607689076,14.09295554,18.90150943,11.7142602,8.030422741,27.35990525,29%,*,*,32,19,5%,3%
S01010764,Sutherland South,Highland,604,338,7%,40,5%,16,60,32,0,78,0.15,0.00,60,81%,5.65,66,1%,10%,5.583394097,12.52575087,6.002677951,6.532222222,12.4737717,15.12742647,30.82508102,16.97957538,30.37099392,70%,4,67,26,40,5%,7%
S01010765,Sutherland South,Highland,972,528,13%,122,8%,44,80,37,0,69,0.12,0.10,67,85%,5.54,104,1%,10%,4.118315164,3.764628345,4.137447968,5.440856354,3.771171952,27.94463115,12.95567972,14.81402213,11.74641724,39%,6,63,56,37,6%,4%
S01010766,Sutherland East,Highland,783,428,10%,82,7%,29,100,66,25,86,0.18,0.04,66,76%,5.65,93,2%,5%,9.804984056,1.814308036,1.423077168,3.664897959,2.357764668,3.252619048,5.838813776,4.323526786,5.595880102,7%,5,65,44,30,6%,4%
S01010767,Sutherland East,Highland,653,371,15%,98,14%,51,110,113,110,96,0.18,0.07,124,67%,5.65,98,0%,4%,1.202213173,1.169362606,9.454075779,2.580102041,8.780400142,9.887290076,4.563434844,15.38284703,15.38109773,6%,8,124,51,15,7%,2%
S01010768,Sutherland East,Highland,547,292,15%,83,9%,25,100,104,71,63,0.17,0.08,103,87%,5.42,99,2%,7%,1.622947049,1.42046875,8.670533854,1.550789474,7.997708333,9.143082192,5.572868924,14.91879774,14.34572049,0%,9,167,35,17,6%,3%
S01010769,Sutherland East,Highland,511,296,5%,28,6%,17,60,38,41,68,0.14,0.08,67,*,5.40,61,2%,12%,4.288695652,4.745947205,11.59814182,6.160185185,10.92564182,11.85972727,16.85430124,26.93522774,25.7892098,69%,*,*,2,12,0%,2%
S01010770,Sutherland East,Highland,745,441,12%,91,15%,65,125,161,22,112,0.18,0.00,99,82%,5.62,97,1%,5%,9.347850627,2.53836374,2.997879133,2.869961832,2.473437856,3.479855769,13.7631984,14.72332383,13.30582383,19%,12,164,31,20,4%,2%
S01010771,Sutherland East,Highland,832,453,14%,116,11%,48,110,78,23,75,0.18,0.22,105,82%,5.60,109,1%,4%,16.27456597,4.942158565,4.265795718,5.5675,24.8652228,26.2277037,13.54600984,13.36900608,41.06301794,36%,7,85,44,31,5%,4%
S01010772,Caithness South,Highland,762,439,10%,77,12%,53,100,41,75,64,0.19,0.13,83,85%,5.36,120,5%,9%,26.90771654,5.202575459,5.016620735,6.355377358,25.92772638,28.17595588,12.24085958,11.68419455,52.67215223,67%,5,67,40,15,5%,2%
S01010773,Caithness South,Highland,749,425,10%,73,10%,42,95,21,0,48,0.21,0.00,87,85%,5.63,94,1%,11%,10.34232484,6.755592357,6.123420382,4.034178571,9.218958599,11.87066116,15.11669904,12.94856688,32.01218153,63%,6,81,40,24,5%,3%
S01010774,Caithness South,Highland,683,373,18%,124,18%,66,120,97,111,81,0.21,0.21,92,77%,4.44,97,7%,7%,19.11115811,2.228554092,2.003661581,3.166848958,17.9886165,19.76024194,5.997912621,4.795714286,36.94491678,19%,9,134,42,16,6%,2%
S01010775,Caithness South,Highland,689,439,6%,41,4%,16,50,31,42,65,0.15,0.06,55,93%,5.68,92,1%,10%,3.788841369,4.944272939,3.886049767,4.453187919,4.392161742,4.661033058,18.58976283,13.70556376,13.4144168,44%,6,88,15,12,2%,2%
S01010776,Wick South,Highland,532,338,12%,62,9%,29,85,138,176,136,0.19,0.04,126,72%,5.00,132,9%,3%,1.166737132,2.016034007,1.077702206,3.609465649,2.460234375,3.339368932,6.609600184,5.074255515,7.163226103,0%,15,286,31,3,6%,1%
S01010777,Wick South,Highland,527,301,21%,112,19%,58,125,367,392,134,0.26,0.04,136,71%,4.36,144,7%,2%,2.123911133,2.219741211,1.020688477,4.136201923,3.081186523,3.932083333,6.567548828,4.219375,8.614765625,0%,32,617,37,11,7%,2%
S01010778,Wick South,Highland,476,323,30%,143,27%,86,210,413,289,180,0.29,0.00,162,63%,4.89,215,11%,3%,2.786145621,3.011211813,1.44552444,4.442447552,3.373523422,4.253695652,8.750733198,5.340519348,9.177668024,0%,36,747,58,25,12%,5%
S01010779,Wick South,Highland,706,436,24%,172,17%,72,130,219,326,98,0.23,0.03,116,74%,4.38,147,7%,2%,1.813474741,2.796998057,1.200521373,3.138636364,2.059203368,3.191617647,11.6155829,6.476761658,7.084536917,40%,54,762,77,4,10%,1%
S01010780,Wick South,Highland,569,349,15%,85,9%,32,95,148,58,117,0.21,0.00,139,81%,5.17,152,3%,9%,2.034314587,3.113739016,2.542913005,2.008717105,2.136080844,2.320186916,12.00086555,8.343093146,5.989459578,0%,22,393,23,8,4%,1%
S01010781,Wick South,Highland,692,459,6%,39,6%,27,80,118,81,144,0.16,0.00,92,83%,5.62,92,2%,6%,1.139833119,1.724598845,1.840641849,3.050469799,1.981941592,2.587807018,7.326447368,6.193523748,5.333520539,0%,32,470,38,10,5%,1%
S01010782,Wick North,Highland,602,349,19%,116,13%,44,120,161,183,157,0.25,0.00,127,78%,4.60,126,5%,4%,1.367170947,1.698202247,1.469526485,2.205184049,1.711051364,4.280380952,6.118519262,3.442299358,4.401641252,0%,82,1366,77,13,13%,2%
S01010783,Wick North,Highland,562,360,18%,103,13%,47,130,139,56,150,0.22,0.08,106,81%,5.30,153,8%,2%,1.719459091,2.062440909,1.745859091,2.091971831,2.293895455,4.886637931,9.267940909,5.320090909,7.996536364,0%,17,307,40,10,7%,2%
S01010784,Wick North,Highland,704,418,27%,193,18%,75,180,303,229,128,0.28,0.06,131,71%,4.29,187,3%,2%,2.640178331,2.278812248,0.911763122,2.823037975,2.819239569,5.229485294,10.43968708,2.952930686,10.2111541,20%,32,462,110,24,15%,3%
S01010785,Wick North,Highland,663,402,5%,35,5%,19,75,81,76,55,0.16,0.07,85,83%,5.57,102,5%,4%,3.143543192,2.044381406,1.234513177,3.435467626,2.755384334,5.109294118,10.5999451,4.304502196,10.31915081,0%,10,153,24,5,4%,1%
S01010786,Wick North,Highland,713,429,6%,43,4%,19,80,74,0,135,0.20,0.00,104,78%,5.12,109,1%,5%,4.86728561,3.716384448,2.591086483,5.085477707,4.453782703,6.878605442,13.85816134,5.971155523,13.79631904,67%,4,57,15,9,2%,1%
S01010787,Caithness North East,Highland,845,478,8%,71,9%,45,80,75,0,117,0.17,0.11,80,86%,4.90,94,2%,7%,5.027924425,11.07412103,3.388923877,3.046715686,13.6019414,14.25561453,23.47440033,11.48190033,30.29276561,58%,6,72,60,22,7%,2%
S01010788,Caithness North East,Highland,595,384,6%,35,6%,22,70,23,0,55,0.15,0.05,74,89%,6.00,100,3%,7%,3.781406752,6.250164791,5.626748392,5.664776786,5.798440514,9.041182796,22.44253617,18.56139068,18.91410772,74%,8,137,44,10,7%,2%
S01010789,Caithness North East,Highland,692,397,8%,55,8%,31,65,75,71,109,0.18,0.00,96,86%,5.15,113,2%,4%,10.92372085,11.22718793,10.58579561,2.352621951,13.43820645,16.57960317,27.18173182,23.06961934,27.50563957,48%,3,44,24,17,3%,2%
S01010790,Caithness North East,Highland,634,364,9%,59,6%,23,85,100,138,124,0.20,0.00,128,82%,5.00,95,0%,9%,4.708578869,4.59828125,4.698258929,3.890306748,20.62379464,23.72386957,12.2203497,9.316197917,39.77631696,65%,5,80,13,12,2%,2%
S01010791,Caithness North East,Highland,828,459,7%,55,4%,18,60,61,21,62,0.15,0.00,81,93%,5.91,67,2%,17%,13.58018519,8.01015233,8.181947431,4.992561576,17.42320191,19.48388889,20.07505974,21.5012724,37.80238949,57%,3,37,37,25,4%,3%
S01010792,Caithness North West,Highland,595,373,18%,106,15%,55,115,202,54,120,0.22,0.04,130,85%,5.07,149,6%,4%,8.004495968,0.959225806,0.940112903,2.518908451,9.461995968,11.091875,4.847064516,4.250725806,15.42160887,0%,19,324,65,8,10%,1%
S01010793,Caithness North West,Highland,688,394,5%,32,5%,19,70,117,25,50,0.13,0.00,85,86%,5.65,80,0%,6%,8.950816641,3.458728814,3.353181818,4.247881944,10.40969569,11.52401515,15.45593991,14.92667758,25.88984206,44%,7,103,5,22,1%,3%
S01010794,Caithness North West,Highland,617,418,8%,52,7%,29,80,43,23,100,0.14,0.06,78,80%,4.75,75,2%,7%,3.786859091,4.917640909,5.149918182,3.54862069,5.246186364,7.333,17.66010227,17.71501136,18.12441591,43%,6,99,17,21,3%,4%
S01010795,Caithness North West,Highland,943,552,7%,67,6%,33,70,111,17,56,0.17,0.00,80,89%,5.83,85,1%,9%,8.148355397,1.739068228,1.399887984,2.18801676,10.96122963,11.49605634,5.179236253,6.523016802,19.00064155,10%,6,65,31,15,3%,2%
S01010796,Caithness North West,Highland,883,554,6%,51,5%,30,55,40,36,56,0.15,0.00,67,90%,5.79,60,5%,10%,9.448736429,7.178549457,6.559212907,6.437189055,13.32459288,13.44875,16.0447316,15.91637063,31.31133142,83%,9,103,20,35,2%,4%
S01010797,Caithness North West,Highland,785,480,4%,35,5%,24,50,40,38,61,0.14,0.04,62,88%,5.83,61,4%,15%,3.70046916,5.049041995,6.388582677,6.003829268,6.12632874,7.09254386,11.58597113,14.72092192,12.84076936,51%,9,116,15,18,2%,2%
S01010798,Caithness North West,Highland,638,367,7%,45,6%,23,60,40,54,98,0.16,0.06,71,83%,5.58,74,2%,7%,3.412269452,13.59335735,4.357860231,5.180913043,13.62436599,14.82079832,25.27287464,21.1196806,26.30778578,70%,5,80,13,27,2%,4%
S01010799,Thurso East,Highland,791,488,13%,106,12%,57,95,157,181,96,0.21,0.00,102,82%,5.94,114,0%,4%,1.283465402,1.618194754,1.531607143,2.497565789,1.380652902,3.279683544,3.394642857,4.984868862,3.398401228,1%,61,770,59,32,7%,4%
S01010800,Thurso East,Highland,670,417,11%,76,10%,40,105,170,44,85,0.19,0.04,104,83%,5.14,122,9%,3%,1.985861833,3.134931601,3.358173735,2.061325301,3.443936389,5.105654762,8.96505472,8.700854993,7.025772914,3%,20,303,30,14,4%,2%
S01010801,Thurso East,Highland,658,399,14%,90,12%,49,105,182,218,121,0.18,0.05,113,81%,5.27,127,0%,3%,1.792009181,2.944184322,3.168534605,1.984864865,3.250363701,4.957242991,9.193142655,8.99079096,7.323064972,0%,41,617,20,7,3%,1%
S01010802,Thurso East,Highland,489,317,11%,56,11%,35,80,160,84,66,0.14,0.00,102,82%,5.64,80,2%,6%,1.777097345,2.928619469,3.151738938,3.140186335,3.23529646,5.01378882,10.79371681,10.94573451,9.170146018,38%,13,270,18,4,3%,1%
S01010803,Thurso West,Highland,562,319,20%,111,16%,49,130,219,147,122,0.23,0.14,115,75%,4.20,99,1%,2%,2.184934534,2.128621113,2.676505728,1.981756757,2.062434534,4.080773196,5.316796236,8.090957447,5.671685761,1%,35,614,51,10,9%,2%
S01010804,Thurso West,Highland,567,365,5%,31,7%,24,55,149,58,80,0.15,0.00,76,86%,5.81,58,4%,10%,2.085352891,1.51042517,2.742283163,1.820111111,2.256352041,3.547840909,5.083358844,8.795157313,6.775816327,0%,10,179,21,13,4%,2%
S01010805,Thurso West,Highland,802,484,7%,55,7%,35,60,95,139,63,0.14,0.00,73,85%,5.50,51,5%,5%,1.766524033,1.685416178,3.549243845,2.510879397,3.317470692,3.560241379,4.899510551,8.703426143,6.780041032,1%,16,203,33,8,4%,1%
S01010806,Thurso West,Highland,863,557,21%,179,17%,95,145,195,420,95,0.21,0.07,115,77%,5.54,130,2%,6%,1.69283024,2.619298581,4.520253821,3.722727273,4.301937773,4.325897436,7.46485262,11.37631823,9.354920852,0%,35,400,95,11,10%,1%
S01010807,Thurso West,Highland,574,314,8%,47,9%,28,85,119,29,60,0.16,0.09,71,79%,5.57,84,3%,4%,2.969811404,2.248324561,3.886460526,1.602195767,3.352460526,3.935263158,8.198921053,12.65410965,10.91796491,0%,8,142,43,17,8%,3%
S01010808,Thurso West,Highland,525,334,9%,48,5%,17,60,97,31,91,0.14,0.00,81,81%,5.05,58,2%,9%,2.997120253,2.295619349,3.499077758,1.330891473,2.887735081,4.122535211,7.850009042,11.53861664,9.82141953,0%,3,58,18,24,3%,4%
S01010809,Thurso West,Highland,742,447,4%,33,4%,18,60,23,22,168,0.20,0.05,61,*,5.71,78,0%,13%,3.997305447,4.465145914,4.485055123,4.08695122,3.874805447,6.355044643,12.32003243,14.9916083,12.59070039,36%,*,*,20,5,3%,1%
S01010810,Sutherland North and West,Highland,499,279,8%,40,6%,17,80,75,37,106,0.13,0.00,72,88%,5.27,81,0%,7%,13.7459898,12.44144388,5.582178571,6.307569444,27.53677551,20.79072368,32.36963861,16.60250765,58.84405697,39%,*,*,28,18,6%,4%
S01010811,Sutherland North and West,Highland,851,521,8%,65,6%,33,75,68,0,84,0.12,0.04,74,82%,5.91,68,0%,9%,7.37507904,10.89894028,5.176217799,6.600583333,17.02094555,10.92366337,27.33663154,16.4259475,42.33738534,46%,4,48,32,55,4%,6%
S01010812,Sutherland North and West,Highland,438,262,9%,41,6%,17,80,72,0,112,0.11,0.00,72,78%,5.38,73,2%,8%,9.062131226,9.178520115,6.562523946,8.6778125,34.00453544,31.54521739,20.89050128,17.29951469,84.12912356,65%,6,139,48,35,9%,7%
S01010813,Sutherland North and West,Highland,494,300,9%,43,8%,25,80,183,0,100,0.18,0.00,95,81%,5.78,85,2%,4%,6.699118738,6.45440167,6.784508349,9.360217391,43.77740724,44.37393443,17.99839518,17.41826067,63.96774583,29%,5,103,79,39,15%,7%
S01010814,Sutherland North and West,Highland,589,381,6%,37,4%,17,60,69,0,113,0.17,0.10,93,68%,5.36,67,1%,5%,14.90957211,14.96941759,14.93987322,12.83403846,59.73033677,42.40600877,36.59961965,36.52193344,122.3886708,76%,4,69,22,46,4%,7%
S01010815,Sutherland North and West,Highland,429,256,7%,31,6%,15,65,59,0,73,0.12,0.13,69,*,6.00,117,0%,11%,6.002611111,6.368338889,6.962188889,4.482945205,65.85286667,7.717421875,18.81417593,18.16207963,106.2647556,56%,4,95,32,21,7%,5%
S01010816,Kilmacolm Central,Inverclyde,655,340,4%,26,2%,7,60,24,32,73,0.17,0.04,92,*,6.33,32,4%,22%,10.34365142,1.062811514,1.339503155,3.592894737,1.225634858,3.193888889,3.301727129,3.609873817,3.443241325,22%,*,*,37,1,6%,0%
S01010817,Kilmacolm Central,Inverclyde,928,509,4%,36,3%,17,45,19,21,49,0.12,0.06,70,84%,5.87,39,0%,29%,11.33905801,2.42640884,2.75571547,3.88126087,2.787853591,3.752407407,10.36883978,11.60883978,11.91883978,1%,7,76,44,6,5%,1%
S01010818,Kilmacolm Central,Inverclyde,998,555,5%,52,4%,20,50,57,17,58,0.14,0.05,87,84%,6.00,36,0%,36%,9.93997288,1.389775641,1.235843195,3.854945946,1.360821006,3.319857955,5.669837278,5.07688856,5.565128205,22%,6,60,74,13,7%,1%
S01010819,"Kilmacolm, Quarriers, Greenock Upper East/Central",Inverclyde,761,459,10%,75,7%,32,95,90,0,75,0.19,0.04,92,84%,5.91,71,1%,11%,9.413052795,2.16852795,1.941984472,4.65130597,2.13318323,4.197616279,8.042549689,8.015590062,7.822714286,21%,10,132,77,14,10%,2%
S01010820,"Kilmacolm, Quarriers, Greenock Upper East/Central",Inverclyde,537,321,7%,36,8%,26,75,42,0,50,0.18,0.09,84,85%,6.20,39,0%,21%,11.55670857,4.214511173,4.378370577,6.477326733,4.437295158,6.381153846,13.31795391,14.00583333,14.29951816,31%,7,131,19,11,4%,2%
S01010821,"Kilmacolm, Quarriers, Greenock Upper East/Central",Inverclyde,603,308,1%,5,1%,5,35,12,0,43,0.08,0.00,78,*,6.50,38,0%,19%,11.91632747,2.600598827,2.926298157,2.728947368,2.933718593,2.795104167,10.2503392,11.23049414,11.42675042,25%,*,*,20,0,3%,0%
S01010822,"Kilmacolm, Quarriers, Greenock Upper East/Central",Inverclyde,798,512,9%,73,10%,54,110,47,0,127,0.20,0.13,109,*,4.89,71,0%,13%,12.75352332,5.847179404,5.365074482,7.8996875,5.670851684,7.804311927,11.51597798,10.30503238,10.81666451,10%,5,63,31,2,5%,0%
S01010823,"Kilmacolm, Quarriers, Greenock Upper East/Central",Inverclyde,496,338,6%,31,5%,18,70,17,53,254,0.13,0.07,92,83%,5.78,107,3%,5%,3.671196755,3.645415822,2.770502028,2.423529412,6.110846856,3.015688073,11.14911765,10.27814402,18.13686613,17%,8,162,60,1,14%,0%
S01010824,Inverkip and Wemyss Bay,Inverclyde,757,547,3%,21,3%,19,45,30,18,64,0.14,0.13,73,90%,6.18,47,0%,17%,4.768406992,3.683515831,3.250432058,3.704800995,14.73601583,10.04035433,12.56556069,11.32764182,37.61111642,0%,3,40,33,2,4%,0%
S01010825,Inverkip and Wemyss Bay,Inverclyde,905,605,1%,13,2%,13,45,22,15,54,0.11,0.02,71,92%,5.78,55,4%,12%,5.162444751,4.07801105,3.64448895,3.919069444,15.13198895,10.2388342,16.57542818,15.21964779,39.62564917,16%,14,156,1,2,0%,1%
S01010826,Inverkip and Wemyss Bay,Inverclyde,705,414,5%,34,3%,11,50,56,51,59,0.13,0.13,63,85%,6.00,64,0%,8%,2.206350993,2.416834437,2.002718543,2.556926606,14.41482119,9.984866071,9.351645695,7.223990066,18.92111258,19%,23,328,54,11,7%,1%
S01010827,Inverkip and Wemyss Bay,Inverclyde,577,389,3%,18,6%,25,75,12,0,40,0.17,0.00,60,90%,5.86,65,0%,10%,2.730811037,1.321404682,0.995104515,1.58,14.03227007,9.487791667,6.273946488,4.823946488,20.41700669,5%,*,*,31,2,5%,0%
S01010828,Inverkip and Wemyss Bay,Inverclyde,1153,813,3%,40,5%,39,60,73,13,65,0.16,0.09,81,90%,6.00,36,0%,12%,3.396470944,1.349780065,1.339449153,1.788244681,14.37626917,9.674547038,6.546053269,6.767255851,23.59103309,0%,6,52,51,2,4%,0%
S01010829,Inverkip and Wemyss Bay,Inverclyde,898,538,7%,62,6%,34,70,166,95,68,0.19,0.04,87,81%,5.82,58,1%,5%,5.201813889,4.116680556,1.525419444,2.362052239,12.06973889,7.593409091,13.34568889,6.730022222,23.65428333,0%,6,67,78,12,9%,1%
S01010830,Inverkip and Wemyss Bay,Inverclyde,500,341,6%,31,5%,16,75,75,32,95,0.18,0.00,70,89%,6.00,44,0%,9%,5.850732914,4.777697842,2.080867806,2.976764706,11.99647032,7.433303571,13.4996268,7.438696043,23.91833633,0%,11,221,53,8,10%,1%
S01010831,Inverkip and Wemyss Bay,Inverclyde,591,429,2%,10,3%,12,30,32,0,58,0.13,0.00,61,91%,6.21,45,2%,13%,6.971082776,5.898808528,3.143030936,4.405842697,13.11645067,8.812711864,20.43219064,14.27630435,30.65719064,13%,*,*,20,0,3%,0%
S01010832,"West Braeside, East Inverkip and West Gourock",Inverclyde,643,477,6%,38,9%,41,90,69,64,44,0.20,0.00,82,87%,6.00,84,5%,13%,3.206297945,3.143989726,5.860945205,4.821818182,8.061150685,4.162151163,13.76394178,17.22768322,24.0166387,7%,11,172,97,12,13%,2%
S01010833,"West Braeside, East Inverkip and West Gourock",Inverclyde,892,628,3%,27,2%,13,35,18,0,61,0.13,0.00,58,95%,6.39,42,0%,13%,9.709038248,7.517957317,7.34914357,8.049881657,8.044077051,9.167675585,24.46334257,23.59215909,26.20379157,23%,7,79,23,11,3%,1%
S01010834,"West Braeside, East Inverkip and West Gourock",Inverclyde,911,517,2%,20,3%,17,55,43,22,51,0.17,0.09,77,88%,6.35,45,0%,10%,9.227759279,5.966031659,5.936512009,4.771791045,6.268114083,6.507442748,18.84437227,16.9640393,20.37487445,13%,*,*,33,9,4%,1%
S01010835,"West Braeside, East Inverkip and West Gourock",Inverclyde,631,360,3%,16,3%,12,55,42,0,46,0.14,0.00,64,92%,6.36,31,0%,18%,8.472255814,4.787794574,4.806953488,2.623289474,4.918860465,5.062349398,14.34199612,13.49998062,15.86596899,1%,4,64,18,3,3%,0%
S01010836,Gourock Upper and West Central and Upper Larkfield,Inverclyde,775,510,3%,27,4%,19,55,59,0,48,0.17,0.05,71,*,5.85,48,3%,9%,7.933612155,3.052565789,3.013073308,2.853875,3.387750627,3.801875,6.926672932,6.841140351,8.405466792,1%,11,143,51,19,7%,2%
S01010837,Gourock Upper and West Central and Upper Larkfield,Inverclyde,639,371,10%,63,7%,25,90,83,142,108,0.18,0.00,103,82%,5.84,98,1%,7%,6.72642803,4.100685606,4.152905303,1.520492958,4.141284091,3.149115044,10.39010606,10.82572727,11.97546212,0%,*,*,51,6,8%,1%
S01010838,Gourock Upper and West Central and Upper Larkfield,Inverclyde,815,554,8%,68,6%,36,85,88,71,91,0.17,0.04,95,83%,5.92,81,1%,11%,6.383444181,3.712209026,3.930115796,1.382826087,3.891579572,2.400299401,8.633135392,9.394809976,10.21853919,0%,3,37,128,7,15%,1%
S01010839,Gourock Upper and West Central and Upper Larkfield,Inverclyde,705,416,9%,66,7%,28,65,79,66,77,0.19,0.00,96,85%,5.90,66,1%,10%,6.239910837,2.473052126,3.035723594,1.703136646,2.921546639,2.067090395,6.495363512,7.761200274,7.796148834,0%,5,71,85,16,12%,2%
S01010840,Gourock Upper and West Central and Upper Larkfield,Inverclyde,453,272,10%,44,10%,27,75,51,89,86,0.19,0.00,87,79%,*,78,11%,12%,7.234561224,1.453566327,1.430311224,3.272277228,1.980744898,4.241428571,3.961989796,3.22344898,5.229163265,0%,5,111,56,23,11%,5%
S01010841,Gourock Upper and West Central and Upper Larkfield,Inverclyde,719,450,9%,63,9%,40,75,165,41,64,0.17,0.05,93,82%,6.11,59,3%,22%,6.327870989,1.383292112,2.095868984,1.996775701,1.685083556,3.23125,4.845835561,6.076751337,5.66552139,0%,3,42,76,13,10%,2%
S01010842,"Gourock Central, Upper East and IRH",Inverclyde,876,527,26%,228,26%,137,185,465,245,117,0.29,0.04,148,72%,5.36,134,13%,4%,5.801966073,1.146390434,1.777285873,1.713236607,1.537538932,3.281833333,3.073292547,3.709446607,3.92163515,0%,55,631,160,55,18%,6%
S01010843,"Gourock Central, Upper East and IRH",Inverclyde,632,398,21%,132,18%,72,140,174,304,96,0.24,0.00,127,79%,*,87,7%,7%,5.673472006,2.55283437,1.633837481,2.303208556,3.071061431,3.676075269,6.440909798,4.575855365,7.999385692,0%,15,239,129,27,20%,4%
S01010844,"Gourock Central, Upper East and IRH",Inverclyde,642,399,4%,28,4%,16,60,103,109,76,0.17,0.07,72,93%,6.21,51,0%,17%,5.095250749,2.472964072,2.504127994,2.233244681,2.988255988,2.50474359,7.987466317,5.091526946,9.522795659,0%,11,172,19,11,3%,2%
S01010845,"Gourock Central, Upper East and IRH",Inverclyde,579,351,8%,44,8%,28,85,35,171,75,0.19,0.00,89,94%,6.19,87,1%,10%,4.546914378,2.828263328,2.982661551,2.502676768,3.365977383,2.128274336,9.770642165,5.797556543,11.35724556,0%,20,347,57,10,9%,2%
S01010846,"Gourock Central, Upper East and IRH",Inverclyde,694,501,16%,112,14%,68,150,87,60,103,0.21,0.08,116,74%,5.06,133,2%,5%,5.158130719,3.23704902,3.878369281,1.861349206,3.890960784,2.69472028,8.764352941,7.46875817,10.50438889,0%,13,188,144,2,19%,0%
S01010847,"Gourock Central, Upper East and IRH",Inverclyde,579,396,3%,16,3%,12,70,24,25,77,0.16,0.00,84,89%,5.94,64,1%,10%,3.934410632,3.783628659,4.201097843,3.459606742,4.476221109,3.876213592,11.45211094,12.55414099,14.59946071,0%,3,52,50,11,8%,2%
S01010848,"Braeside, Branchton, Lower Larkfield and Ravenscraig",Inverclyde,766,483,29%,219,19%,92,205,187,256,157,0.24,0.08,140,70%,5.34,183,4%,1%,2.74256015,2.143218045,4.852007519,2.149963768,5.156770677,2.843626943,7.653406015,15.2204812,18.77204135,0%,19,249,166,5,25%,1%
S01010849,"Braeside, Branchton, Lower Larkfield and Ravenscraig",Inverclyde,904,561,32%,291,20%,109,205,155,271,140,0.25,0.10,157,67%,4.94,165,6%,4%,2.819553102,1.424413775,4.851048896,2.431574074,5.125349632,3.092651515,5.304384858,16.01799159,19.3976551,0%,29,323,177,6,19%,1%
S01010850,"Braeside, Branchton, Lower Larkfield and Ravenscraig",Inverclyde,921,569,25%,226,19%,107,165,238,158,205,0.35,0.10,169,70%,4.94,222,8%,3%,3.30321961,1.078225344,4.923592317,2.958392857,5.197795298,3.550526316,3.811364679,14.21926032,17.61574255,0%,29,317,165,4,21%,0%
S01010851,"Braeside, Branchton, Lower Larkfield and Ravenscraig",Inverclyde,796,523,29%,230,19%,97,180,217,220,91,0.21,0.08,139,63%,4.96,186,6%,6%,4.04235258,1.858003686,5.318599509,3.731117647,5.592807125,4.298257919,6.055902948,15.16243243,18.48675983,0%,34,429,168,0,21%,0%
